رقم الخط,خط السير,المواقف,السعر
NULL,عزبة خير الله - بحيرة عين الصيرة - السيدة عائشة,"عزبة خير الله, بحيرة عين الصيرة, السيدة عائشة",8 جنيه
NULL,السيدة عائشة - الملك الصالح - الجيزة,"السيدة عائشة, الملك الصالح, الجيزة",8 جنيه
NULL,السيدة عائشة - البساتين - مزرعة البط,"السيدة عائشة, البساتين, مزرعة البط",8 جنيه
NULL,السيدة عائشة - النافورة - المقطم,"السيدة عائشة, النافورة, المقطم",9.50 جنيه
NULL,السيدة عائشة - كارفور - القطامية,"السيدة عائشة, كارفور, القطامية",11.50 جنيه
NULL,السيدة عائشة - البساتين - السيما,"السيدة عائشة, البساتين, السيما",7.50 جنيه
NULL,السيدة عائشة - القاهرة الجديدة,"السيدة عائشة, القاهرة الجديدة",19 جنيه
NULL,السيدة زينب - القصر العيني - الجيزة,"السيدة زينب, القصر العيني, الجيزة",8 جنيه
NULL,احمد حلمى - الشيخ كحك - المطرية,"احمد حلمى, الشيخ كحك, المطرية",8.50 جنيه
NULL,حدائق القبة - جامعة الازهر - الحي السابع,"حدائق القبة, جامعة الازهر, الحي السابع",8 جنيه
NULL,قسم الحدائق - عباسية,"قسم الحدائق, عباسية",8 جنيه
NULL,قسم الحدائق - محطة مترو الحدائق,"قسم الحدائق, محطة مترو الحدائق",8 جنيه
NULL,مدينة السلام - رابعة العدوية - باب الشعرية,"مدينة السلام, رابعة العدوية, باب الشعرية",13 جنيه
NULL,مدينة السلام - منشية البكري - باب الشعرية,"مدينة السلام, منشية البكري, باب الشعرية",13 جنيه
NULL,مدينة السلام - رابعة العدوية - العتبة,"مدينة السلام, رابعة العدوية, العتبة",13 جنيه
NULL,مدينة السلام - منشية البكرى - العتبة,"مدينة السلام, منشية البكرى, العتبة",13 جنيه
NULL,مدينة السلام - منشية البكرى - احمد حلمي,"مدينة السلام, منشية البكرى, احمد حلمي",12.50 جنيه
NULL,مدينة السلام - النهضة - سوق العبور,"مدينة السلام, النهضة, سوق العبور",8.50 جنيه
NULL,العتبة - العباسية - مدينة نصر - التجمع الخامس,"العتبة, العباسية, مدينة نصر, التجمع الخامس",19 جنيه
NULL,رمسيس - صلاح سالم - مطار القاهرة,"رمسيس, صلاح سالم, مطار القاهرة",11.50 جنيه
NULL,حلوان - المعادى - التحرير,"حلوان, المعادى, التحرير",10 جنيه
NULL,المرج - جسر السويس - العتبة,"المرج, جسر السويس, العتبة",9 جنيه
NULL,المطرية - الزاوية الحمراء - رمسيس,"المطرية, الزاوية الحمراء, رمسيس",7.50 جنيه
NULL,شبرا الخيمة - المظلات - العتبة,"شبرا الخيمة, المظلات, العتبة",8 جنيه
NULL,الخانكة - السلام - رمسيس,"الخانكة, السلام, رمسيس",13 جنيه
NULL,عين شمس - روكسي - العباسية,"عين شمس, روكسي, العباسية",7.50 جنيه
