م,خطوط السير,المواقف,التعريفة الحالية (جنية),التعريفة الحالية (قرش),بعد الزيادة (جنية),بعد الزيادة (قرش)
1,عزية خير الله - بحيرة عين الصيرة - السيدة عائشة,,7,0,8,0
2,السيدة عائشة - الملك الصالح - الجيزة,,7,0,8,0
3,السيدة عائشة - البساتين - مزرعة البط,,7,0,8,0
4,السيدة عائشة - النافورة - المقطم,المقطم,7,50,8,50
5,السيدة عائشة - كارفور - القطامية,,10,50,11,50
6,السيدة عائشة - البساتين - السيما,,7,50,8,50
7,السيدة عائشة - القاهرة الجديدة,,17,0,19,0
8,السيدة زينب - القصر العيني - الجيزة,,7,0,8,0
9,احمد حلمى - الشيخ رمضان - البنزينة,,7,50,8,50
10,أحمد حلمي - الشيخ رمضان - المؤسسة,,7,50,8,50
11,احمد حلمي - عبود - المصانع,,7,50,8,50
12,أحمد حلمي - عبود - مسطرد,,7,50,8,50
13,احمد حلمي - كوبري عرابي - بيجام,,7,50,8,50
14,المظلات - الشيخ رمضان - احمد حلمي,,7,0,8,0
15,المظلات - غمرة - الحي السابع,الحي السابع,7,0,8,0
16,المظلات - رمسيس - العباسية,العباسية,7,0,8,0
17,المظلات - كوبري روض الفرج - الوحدة,,7,0,8,0
18,المظلات - كوبري روض الفرج - امبابة,,7,0,8,0
19,المظلات - ميدان السواح - روكسي,,7,50,8,50
20,المظلات - المؤسسة - ابو الغيط,,7,0,8,0
21,المظلات - كوبري الحادثة - القناطر الخيرية,,7,50,8,50
22,المظلات - الكهرباء المستعمرة) - الوايلي,,7,0,8,0
23,دوران شبرا - العباسية - الحي السابع,الحي السابع - العباسية,10,50,12,0
24,دوران شبرا - جامعة القاهرة طريق كوبري قصر النيل ) - الهرم,,10,50,12,0
27,الزاوية الحمراء - حدائق القبة - العباسية,العباسية - الزاوية الحمراء,7,0,8,0
28,الزاوية الحمراء - اعلي كوبري غمرة - عتبة,الزاوية الحمراء,7,0,8,0
32,الوايلي - الشرابية - أحمد حلمى,,7,0,8,0
35,حلوان - فم الخليج ( كورنيش النيل ) ، عبد المنعم رياض,عبد المنعم رياض,10,50,12,0
36,حلوان - منشاة ناصر (طريق الأتوستراد) - حدائق القبة,,12,0,14,0
37,حلوان - منشاة ناصر (طريق الأتوستراد) - العباسية,العباسية,12,0,14,0
41,حلوان - السيدة عائشة (طريق الأتوستراد) - العتبة,,12,0,14,0
49,حلوان - المقطم,المقطم,14,0,16,0
73,المعادى - عبد المنعم رياض - احمد حلمي,عبد المنعم رياض,10,50,12,0
130,المطرية - العباسية - العتبة,المطرية - العباسية,9,50,11,0
131,الحى السابع - العباسية - احمد حلمى,العباسية,10,50,12,0
140,قسم الحدائق - عباسية,قسم الحدائق,7,0,8,0
